REEF_ID,SECTOR,SHELF,REEF_NAME,LATITUDE,LONGITUDE,P_CODE,YEAR_CODE,VISIT_NO,REPORT_YEAR,SAMPLE_DATE,SAMPLE_YEAR,SAMPLE_MONTH,REEF_YEAR_CODE_ID,TEMPERATURE,TEMPERATURE_YEAR_AVE,MEDIAN_LIVE_CORAL,MEDIAN_SOFT_CORAL,MEDIAN_DEAD_CORAL,MEAN_LIVE_CORAL,MEAN_SOFT_CORAL,MEAN_DEAD_CORAL,TOTAL_COTS,TOWS,MEAN_COTS_PER_TOW,TOTAL_TROUT,MEAN_TROUT_PER_TOW,SITE_NO,SITE_LATITUDE,SITE_LONGITUDE,SITE_SAMPLE_DATE,ALGAE_COVER,HARD_CORAL_COVER,SOFT_CORAL_COVER,OTHER_COVER
16015S,CA,M,MACKAY REEF,-16.05,145.65,RM,199293,1,1993,13/06/1993,1993,6,16015S199293,26.2,28.8,40.0,0.0,5.0,35.435,0.0,3.478,1,23,0.043,0,0.0,1,-16.042633,145.65455,14/06/1993,55.09,27.61,3.3,13.99
16019S,CA,O,ST CRISPIN REEF,-16.108333,145.833333,RM,199293,1,1993,20/06/1993,1993,6,16019S199293,26.2,28.8,20.0,0.0,0.0,18.283,0.0,1.061,1,99,0.01,0,0.0,1,-16.071583,145.84515,21/06/1993,41.77,20.47,30.69,7.07
16025S2,CA,O,OPAL (2),-16.216667,145.891667,RM,199495,3,1995,10/04/1995,1995,4,16025S2199495,31.2,29.4,25.0,0.0,0.0,22.821,0.0,0.643,0,70,0.0,0,0.0,1,-16.203433,145.9062,10/04/1995,32.12,31.16,33.72,2.99
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,199293,1,1993,11/06/1993,1993,6,16028S199293,26.2,28.8,20.0,0.0,5.0,25.758,0.0,2.576,0,33,0.0,0,0.0,1,-16.383517,145.57095,12/06/1993,30.64,24.77,17.82,26.78
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,199293,1,1993,4/09/1992,1992,9,16049S199293,29.3,29.4,5.0,0.0,0.0,9.063,0.0,1.354,0,48,0.0,0,0.0,1,-16.775317,145.98045,17/06/1993,61.94,11.0,9.72,17.35
16054S,CA,I,FITZROY ISLAND REEF,-16.925,145.983333,RM,199394,2,1994,9/02/1994,1994,2,16054S199394,31.2,29.1,2.5,0.0,0.0,4.595,0.0,0.0,0,37,0.0,0,0.0,1,-16.92315,145.993133,9/02/1994,39.26,25.56,18.92,16.25
16057S,CA,M,HASTINGS REEF,-16.516667,146.016667,RM,199293,1,1993,8/09/1992,1992,9,16057S199293,29.3,29.4,5.0,0.0,0.0,12.295,0.0,1.475,1,61,0.016,0,0.0,1,-16.49935,146.022667,22/06/1993,64.9,22.57,8.83,3.7
16060S,CA,M,MICHAELMAS REEF,-16.583333,146.016667,RM,199293,1,1993,6/09/1992,1992,9,16060S199293,29.3,29.4,5.0,0.0,0.0,9.315,0.0,1.169,2,124,0.016,0,0.0,1,-16.54865,146.05,24/06/1993,47.05,17.45,28.86,6.64
16064S,CA,M,ARLINGTON REEF,-16.716667,146.066667,RAP,200506,14,2006,21/10/2005,2005,10,16064S200506,30.9,29.4,7.5,7.5,0.0,8.292,13.583,1.0,0,60,0.0,8,0.133333333,1,-16.6461,146.1107,21/10/2005,59.0,13.5,22.3,5.2
16068S,CA,M,THETFORD REEF,-16.808333,146.191667,RM,199394,2,1994,9/02/1994,1994,2,16068S199394,31.2,29.1,7.5,0.0,0.0,9.868,0.0,0.461,0,38,0.0,0,0.0,1,-16.7988,146.198117,8/02/1994,64.22,15.47,13.77,6.54
16071S,IN,M,MOORE REEF,-16.866667,146.233333,RAP,201314,22,2014,13/03/2014,2014,3,16071S201314,29.2,28.0,7.5,2.5,0.0,14.081,6.084,1.536,0,83,0.0,16,0.192771084,1,-16.847667,146.235833,13/03/2014,43.4,18.0,31.6,7.0
17014S,IN,O,HEDLEY REEF,-17.233333,146.483333,RAP,201920,28,2020,19/02/2020,2020,2,17014S201920,33.0,28.6,7.5,2.5,2.5,6.047,5.203,1.554,0,74,0.0,29,0.391891892,1,-17.225067,146.479033,19/02/2020,87.01,5.39,4.9,2.7
17016S,IN,M,MCCULLOCH,-17.283333,146.45,RAP,201920,28,2020,21/02/2020,2020,2,17016S201920,33.0,28.6,2.5,2.5,2.5,3.589,4.604,1.955,0,101,0.0,19,0.188118812,1,-17.2841,146.479617,20/02/2020,72.63,3.23,21.94,2.21
17024S,IN,M,PEART REEF,-17.483333,146.391667,RAP,200506,14,2006,1/12/2005,2005,12,17024S200506,32.3,28.5,7.5,2.5,0.0,8.878,6.99,0.714,0,49,0.0,12,0.244897959,1,-17.466517,146.403083,1/12/2005,69.9,14.5,9.5,6.1
17034S,IN,M,FEATHER REEF,-17.533333,146.383333,RAP,201314,22,2014,22/03/2014,2014,3,17034S201314,29.2,28.0,15.0,2.5,1.25,13.4,5.3,1.25,0,50,0.0,23,0.46,1,-17.51795,146.390533,22/03/2014,41.8,41.0,13.2,4.0
17063A,IN,M,FARQUHARSON REEF (NO 1),-17.783333,146.516667,RAP,200708,16,2008,14/03/2008,2008,3,17063A200708,28.5,28.1,2.5,2.5,2.5,5.397,2.897,1.468,0,63,0.0,9,0.142857143,1,-17.791167,146.532417,14/03/2008,87.11,5.57,1.53,5.79
17064S,IN,M,TAYLOR REEF,-17.833333,146.55,RAP,200506,14,2006,6/12/2005,2005,12,17064S200506,32.3,28.5,2.5,2.5,0.0,2.843,7.941,0.539,0,51,0.0,11,0.215686275,1,-17.810717,146.571617,6/12/2005,75.65,6.43,10.11,7.81
18030S,TO,M,KELSO REEF,-18.441667,146.991667,RAP,200708,16,2008,12/05/2008,2008,5,18030S200708,27.6,29.0,2.5,2.5,0.0,7.018,3.246,0.439,0,57,0.0,37,0.649122807,1,-18.4221,146.984567,12/05/2008,77.7,3.9,6.1,12.3
18031S,TO,M,LITTLE KELSO REEF,-18.475,147.0,RAP,200506,14,2006,11/07/2006,2006,7,18031S200506,25.3,29.0,2.5,2.5,1.25,3.828,2.5,1.25,0,32,0.0,44,1.375,1,-18.4613,146.9983,11/07/2006,81.36,2.94,4.61,11.09
