REEF_ID,SECTOR,SHELF,REEF_NAME,LATITUDE,LONGITUDE,P_CODE,YEAR_CODE,VISIT_NO,REPORT_YEAR,SAMPLE_DATE,SAMPLE_YEAR,SAMPLE_MONTH,REEF_YEAR_CODE_ID,TEMPERATURE,TEMPERATURE_YEAR_AVE,MEDIAN_LIVE_CORAL,MEDIAN_SOFT_CORAL,MEDIAN_DEAD_CORAL,MEAN_LIVE_CORAL,MEAN_SOFT_CORAL,MEAN_DEAD_CORAL,TOTAL_COTS,TOWS,MEAN_COTS_PER_TOW,TOTAL_TROUT,MEAN_TROUT_PER_TOW,SITE_NO,SITE_LATITUDE,SITE_LONGITUDE,SITE_SAMPLE_DATE,ALGAE_COVER,HARD_CORAL_COVER,SOFT_CORAL_COVER,OTHER_COVER
22084S,SW,M,22084S,-22.0,152.458333,RAP,201920,28,2020,15/01/2020,2020,1,22084S201920,32.0,27.6,45.0,2.5,2.5,43.938,7.875,3.75,58,20,2.9,136,6.8,1,-21.999617,152.471183,14/01/2020,70.28,24.04,2.3,3.38
22088S,SW,M,SNAKE (22088),-22.025,152.15,RM,199293,1,1993,2/10/1992,1992,10,22088S199293,25.0,25.5,40.0,0.0,0.0,33.799,0.0,2.304,82,102,0.804,0,0.0,1,-22.023733,152.1958,3/10/1992,56.37,36.33,4.54,2.76
22102S,SW,M,CHINAMAN REEF(22102),-22.008333,152.658333,RM,199293,1,1993,6/10/1992,1992,10,22102S199293,25.0,25.5,20.0,0.0,0.0,20.286,0.0,0.714,4,35,0.114,0,0.0,1,-21.99795,152.668567,7/10/1992,56.79,23.88,14.9,4.42
22104S,SW,M,HORSESHOE,-22.033333,152.591667,RM,199293,1,1993,10/10/1992,1992,10,22104S199293,25.0,25.5,20.0,0.0,0.0,20.531,0.0,1.813,1,80,0.013,0,0.0,1,-22.022867,152.619233,11/10/1992,46.26,35.35,10.33,8.06
23045A,CB,O,NORTH REEF (NORTH),-23.183333,151.908333,RAP,200506,14,2006,17/03/2006,2006,3,23045A200506,28.2,25.9,25.0,2.5,2.5,43.672,3.75,2.5,0,32,0.0,46,1.4375,1,-23.175483,151.908617,10/03/2006,26.4,69.3,3.5,0.8
23048S,CB,O,BROOMFIELD REEF,-23.275,151.941667,RM,199293,1,1993,29/10/1992,1992,10,23048S199293,29.0,28.6,20.0,0.0,5.0,21.15,0.0,2.6,0,50,0.0,0,0.0,1,-23.249567,151.94255,28/10/1992,83.03,9.59,1.64,5.74
23051S,CB,O,WRECK ISLAND REEF,-23.333333,151.966667,RM,199293,1,1993,26/10/1992,1992,10,23051S199293,29.0,28.6,20.0,0.0,0.0,27.111,0.0,1.667,0,45,0.0,0,0.0,1,-23.317217,151.976233,29/10/1992,82.22,13.48,1.2,3.1
23055S,CB,O,ONE TREE REEF,-23.5,152.066667,RM,199293,1,1993,21/10/1992,1992,10,23055S199293,29.0,28.6,20.0,0.0,5.0,18.133,0.0,3.467,0,75,0.0,0,0.0,1,-23.48365,152.088783,22/10/1992,90.45,0.64,0.0,8.92
23068S,CB,O,ERSKINE REEF,-23.508333,151.775,RAP,201920,28,2020,8/01/2020,2020,1,23068S201920,29.9,26.2,35.0,2.5,0.0,41.974,3.553,0.526,0,19,0.0,34,1.789473684,1,-23.498333,151.774717,9/01/2020,46.09,21.65,5.5,26.76
23069S,CB,O,MAST HEAD REEF,-23.541667,151.733333,RAP,200506,14,2006,3/05/2006,2006,5,23069S200506,24.1,25.9,15.0,2.5,2.5,22.075,2.594,3.066,0,53,0.0,21,0.396226415,1,-23.5341,151.749683,3/05/2006,57.93,14.52,4.31,23.24
23079S,CB,O,BOULT REEF,-23.758333,152.266667,RAP,201920,28,2020,6/01/2020,2020,1,23079S201920,29.9,26.2,45.0,2.5,0.0,48.949,3.977,1.42,2,44,0.045,22,0.5,1,-23.74525,152.274683,7/01/2020,82.11,11.16,3.86,2.87
23080S,CB,O,HOSKYN ISLANDS REEF,-23.808333,152.291667,RAP,200506,14,2006,6/05/2006,2006,5,23080S200506,24.1,25.9,56.25,2.5,2.5,55.04,2.5,2.5,0,31,0.0,17,0.548387097,1,-23.79565,152.297133,6/05/2006,33.27,63.12,2.01,1.6
23081S,CB,O,FAIRFAX ISLANDS REEF,-23.858333,152.366667,RAP,201920,28,2020,4/01/2020,2020,1,23081S201920,29.9,26.2,30.0,2.5,0.0,39.281,6.688,1.125,0,40,0.0,51,1.275,1,-23.848117,152.372383,4/01/2020,63.76,27.8,3.3,5.14
23082S,CB,O,LADY MUSGRAVE REEF,-23.908333,152.408333,RM,199293,1,1993,18/10/1992,1992,10,23082S199293,29.0,28.6,5.0,0.0,0.0,18.024,0.0,2.177,0,62,0.0,0,0.0,1,-23.8835,152.419783,19/10/1992,94.11,2.35,0.0,3.54
